"subj","month","year","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","group","fai","fai_cat","avg_rain"
"allo",8,2015,"aug",0.0444444444444444,0.0555555555555556,0,0.238888888888889,0.372222222222222,0.15,0,0,0,180,0.636,"twn",521089.197916667,"low",8.24193548387097
"allo",9,2015,"sep",0.0838926174496644,0.00671140939597315,0,0.231543624161074,0.432885906040268,0.134228187919463,0,0,1,298,0.636,"twn",6504451.17291667,"low",7.55
"allo",10,2015,"oct",0,0.0133333333333333,0,0.25,0.313333333333333,0.216666666666667,0,0,0,300,0.636,"twn",5597218.68541667,"low",7.49032258064516
"allo",11,2015,"nov",0.0333333333333333,0.02,0,0.313333333333333,0.276666666666667,0.206666666666667,0,4,1,300,0.636,"twn",119557042.557833,"med",9.96
"allo",12,2015,"dec",0.0133333333333333,0.06,0,0.296666666666667,0.373333333333333,0.173333333333333,0,0,0,300,0.636,"twn",188108038.364583,"hi",5.9
"allo",1,2016,"jan",0.0598006644518272,0.00996677740863787,0.00332225913621262,0.398671096345515,0.222591362126246,0.209302325581395,0.026578073089701,0,0,301,0.636,"twn",187602350.308333,"hi",2.85483870967742
"allo",2,2016,"feb",0.0166666666666667,0,0,0.397222222222222,0.244444444444444,0.225,0,2,0,360,0.636,"twn",572666.5375,"low",1.33448275862069
"allo",3,2016,"mar",0.226666666666667,0,0,0.353333333333333,0.2,0.16,0,1,1,300,0.636,"twn",106302595.085417,"med",2.5
"amos",8,2015,"aug",0.0391061452513966,0,0,0.329608938547486,0.402234636871508,0.100558659217877,0,4,1,179,0.636,"twn",521089.197916667,"low",8.24193548387097
"amos",9,2015,"sep",0.0433333333333333,0.00666666666666667,0.00666666666666667,0.34,0.356666666666667,0.17,0,0,0,300,0.636,"twn",6504451.17291667,"low",7.55
"amos",10,2015,"oct",0.06,0.0266666666666667,0.01,0.333333333333333,0.263333333333333,0.203333333333333,0,1,2,300,0.636,"twn",5597218.68541667,"low",7.49032258064516
"amos",11,2015,"nov",0.0133333333333333,0.0366666666666667,0.0166666666666667,0.373333333333333,0.27,0.173333333333333,0,0,2,300,0.636,"twn",119557042.557833,"med",9.96
"amos",12,2015,"dec",0.110367892976589,0,0.0133779264214047,0.301003344481605,0.331103678929766,0.180602006688963,0,0,0,299,0.636,"twn",188108038.364583,"hi",5.9
"amos",1,2016,"jan",0.0299003322259136,0.00664451827242525,0.0232558139534884,0.408637873754153,0.27906976744186,0.18936877076412,0,0,0,301,0.636,"twn",187602350.308333,"hi",2.85483870967742
"amos",2,2016,"feb",0.00277777777777778,0,0,0.45,0.316666666666667,0.144444444444444,0,3,2,360,0.636,"twn",572666.5375,"low",1.33448275862069
"amos",3,2016,"mar",0.0392857142857143,0.0357142857142857,0.0285714285714286,0.371428571428571,0.235714285714286,0.214285714285714,0,3,2,280,0.636,"twn",106302595.085417,"med",2.5
"atom",8,2015,"aug",0,0.00555555555555556,0.0777777777777778,0.338888888888889,0.372222222222222,0.116666666666667,0,2,1,180,0.556,"tws",7755239.42916667,"low",8.24193548387097
"atom",9,2015,"sep",0,0.04,0.0233333333333333,0.413333333333333,0.296666666666667,0.173333333333333,0,0,4,300,0.556,"tws",13291529.0777778,"low",7.55
"atom",10,2015,"oct",0,0.05625,0.04375,0.384375,0.284375,0.140625,0,0,3,320,0.556,"tws",8685715.30416667,"low",7.49032258064516
