sample,CV,run,notes
Standard2,6.3,1,
Standard3,1.2,1,
Standard4,0.4,1,
Standard5,4.5,1,
Standard6,0.2,1,
Standard7,NA,1,
Control1,2.7,1,
Control2,1,1,
4,15.1,1,
6,3.2,1,
14,9.9,1,
15,2.4,1,
18,2.1,1,
36,0.7,1,
38,3.9,1,
40,0.8,1,
41,4.1,1,
43,4.7,1,
52,8.3,1,
59,10.8,1,
68,13.6,1,
71,6.5,1,
72,2.4,1,
77,1.8,1,
79,3.3,1,
93,,1,redone
99,7.6,1,
100,13.2,1,
105,4.4,1,
106,7.3,1,
113,3.6,1,
115,7,1,
116,9.1,1,
117,3.5,1,
124,2,1,
125,5.2,1,
128,3,1,
131,5.9,1,
141,4.2,1,
143,1.2,1,
144,6.8,1,
151,6.6,1,
161,0.9,1,
162,2.4,1,
165,5.8,1,
175,0.4,1,
177,2.9,1,
179,6.6,1,
217,7.5,1,
238,17.7,1,
240,2.7,1,
241,5.5,1,
264,NA,1,"redo, singlet"
275,NA,1,"redo, singlet"
277,0.7,1,
294,1.2,1,
39,NA,1,"redo, singlet"
173,2.5,1,
Standard2,7.1,2,
Standard3,2.8,2,
Standard4,0,2,
Standard5,2.6,2,
Standard6,1.5,2,
Standard7,NA,2,
Control1,3.3,2,
Control2,4.9,2,
303,0.6,2,
305,12.6,2,
306,5.3,2,
308,1.2,2,
309,2.9,2,
313,2.8,2,
323,NA,2,"redo, singlet"
331,7.5,2,
333,0.3,2,
334,1.1,2,
344,5.7,2,
346,3.4,2,
348,4.9,2,
352,0.2,2,
355,0.7,2,
358,0.3,2,
360,6.8,2,
361,2.8,2,
362,6.6,2,
363,0,2,
368,5.8,2,
371,16.7,2,
372,0.4,2,
374,0.6,2,
375,2.3,2,
383,5.2,2,
384,11.4,2,
385,0.4,2,
387,3.6,2,
388,NA,2,"redo, singlet"
389,NA,2,"redo, singlet"
395,NA,2,"redo, singlet"
396,NA,2,"redo, singlet"
402,NA,2,"redo, singlet"
403,NA,2,"redo, singlet"
404,NA,2,"redo, singlet"
406,NA,2,"redo, singlet"
413,NA,2,"redo, singlet"
415,NA,2,"redo, singlet"
419,2.7,2,
422,1.9,2,
424,2.5,2,
425,7.5,2,
426,6.9,2,
427,3.7,2,
428,NA,2,"redo, singlet"
433,0.6,2,
437,3.5,2,
438,0.2,2,
439,9.1,2,
Standard1,10.5,3,
Standard2,3.9,3,
Standard3,3.1,3,
Standard4,5.8,3,
Standard5,1.4,3,
Standard6,0.5,3,
Standard7,NA,3,
Control1,2.8,3,
Control2,2.4,3,
440,1.7,3,
442,3.6,3,
443,4.6,3,
445,1,3,
446,10.1,3,
447,2.8,3,
450,10.6,3,
452,1,3,
455,1.9,3,
457,7.2,3,
458,1.9,3,
459,8,3,
461,2.9,3,
462,4.8,3,
471,1.4,3,
473,1,3,
474,11.5,3,
475,0.7,3,
476,1.6,3,
479,1.1,3,
480,2.2,3,
481,10.9,3,
483,3.5,3,
484,1.7,3,
488,18.5,3,
489,0.6,3,
491,8.4,3,
493,10.8,3,
504,2.9,3,
510,3.2,3,
515,7.9,3,
519,NA,3,pellet sucked
528,4.5,3,
534,8.2,3,
2,2.7,3,
9,0.5,3,
10,2,3,
11,7.5,3,
12,4.8,3,
13,0.1,3,
16,2.6,3,
17,2.4,3,
19,0.9,3,
20,1.1,3,
21,4.2,3,
25,8.7,3,
26,3.1,3,
27,0.7,3,
29,1.4,3,
30,NA,3,pellet sucked
x,NA,3,
x,NA,3,
x,NA,3,
x,NA,3,
x,NA,3,
32,5.4,3,
33,1,3,
35,4.8,3,
42,5,3,
44,4.2,3,
45,4.1,3,
47,7.4,3,
50,9.1,3,
55,4,3,
57,4.4,3,
60,6.8,3,
63,9.3,3,
65,6.6,3,
67,9.8,3,
70,2.7,3,
75,NA,3,pellet sucked
78,4.7,3,
80,0.2,3,
81,9.7,3,
82,1.5,3,
86,1.4,3,
87,5.3,3,
88,2,3,
89,1.9,3,
90,6.1,3,
91,2.6,3,
92,1.6,3,
95,3.2,3,
101,1.5,3,
102,2.6,3,
103,7.3,3,
104,2,3,
107,3.1,3,
110,2.1,3,
114,5.4,3,
118,0.2,3,
119,0.9,3,
120,6.8,3,
121,2.2,3,
123,0.9,3,
126,1.1,3,
129,15.1,3,
130,13.3,3,
132,4.2,3,
133,3.8,3,
135,1.3,3,
136,3.8,3,
137,2.9,3,
139,1,3,
140,5,3,
Standard2,3.2,4,
Standard3,NA,4,
Standard4,2.8,4,
Standard5,2,4,
Standard6,5.3,4,
Standard7,NA,4,
Control1,9,4,
Control2,0.6,4,
142,2.8,4,
146,3,4,
148,2.1,4,
149,4.2,4,
150,1,4,
152,0.3,4,
153,0.6,4,
154,2.2,4,
155,1.1,4,
157,20.2,4,
158,5.6,4,
159,0.5,4,
160,0.6,4,
164,2,4,
166,8.8,4,
168,1.1,4,
172,6.3,4,
174,2.1,4,
181,0.5,4,
182,4.5,4,
185,3.2,4,
191,6.6,4,
192,0.3,4,
199,1.7,4,
206,5.2,4,
214,11.7,4,
219,9.6,4,
225,0.4,4,
227,0.6,4,
228,4.9,4,
229,4.1,4,
232,1,4,
235,5.3,4,
236,0.5,4,
237,2.6,4,
242,1.2,4,
243,1.3,4,
245,3.4,4,
246,1.5,4,
247,1.9,4,
248,11.2,4,
256,9,4,
258,2.6,4,
259,1.7,4,
260,4.5,4,
262,1,4,
266,0.7,4,
267,2.6,4,
268,1,4,
272,1,4,
274,2.3,4,
279,13.1,4,
284,2.6,4,
286,5,4,
293,5.5,4,
295,5.8,4,
297,7.6,4,
304,11.7,4,
312,4.6,4,
319,5.8,4,
320,2.2,4,
321,2.7,4,
322,4.5,4,
324,1.5,4,
327,9,4,
329,3.1,4,
332,23.3,4,
337,10.1,4,
345,2.6,4,
347,1,4,
350,9.9,4,
353,1.9,4,
354,4.2,4,
359,0.5,4,
364,1.2,4,
365,7.9,4,
366,2.9,4,
367,3.2,4,
369,6,4,
370,0.6,4,
376,0.6,4,
377,1.7,4,
378,4,4,
379,0.5,4,
380,5.7,4,
381,0.3,4,
386,13.8,4,
390,5.2,4,
391,5.2,4,
392,1,4,
393,3,4,
394,5.5,4,
397,7.4,4,
400,2.8,4,
408,5.6,4,
409,1.4,4,
410,3.5,4,
414,1.8,4,
417,4.1,4,needs switching
421,11.4,4,needs switching
Standard2,3,5,
Standard3,4.5,5,
Standard4,1.2,5,
Standard5,3,5,
Standard6,4,5,
Standard7,2.4,5,
Control1,5.1,5,
Control2,7.1,5,
618,3,5,
619,5.5,5,
1,9,5,
5,7,5,
7,8.3,5,
8,2,5,
22,4.7,5,
23,0.1,5,
37,1.4,5,
46,3.6,5,
48,0.7,5,
49,2.2,5,
51,8.5,5,
53,0.1,5,
54,0.2,5,
Standard2,5,6,
Standard3,0.6,6,
Standard4,5.2,6,
Standard5,0.7,6,
Standard6,0.2,6,
Standard7,NA,6,
Control1,1.8,6,
Control2,8.8,6,
423,0.5,6,
429,1.6,6,
430,1.1,6,
431,3.4,6,
432,1.5,6,
434,0.5,6,
435,0.3,6,
436,1.5,6,
441,3.5,6,
444,2.9,6,
448,2.5,6,
449,1.7,6,
451,7.6,6,
453,0.8,6,
454,3.3,6,
456,NA,6,pellet sucked
460,2.1,6,
465,3,6,
469,0,6,
470,3.1,6,
472,3.6,6,
482,5.5,6,
487,7.9,6,
490,2.3,6,
492,3.7,6,
494,5.9,6,
495,17.5,6,
497,2.7,6,
498,6.5,6,
499,2.2,6,
500,4.4,6,
501,7.9,6,
502,4.5,6,
503,0.4,6,
505,3.4,6,
506,1.6,6,
507,2.6,6,
508,0.8,6,
509,0,6,
511,3.5,6,
512,6.1,6,
513,3.1,6,
514,2.4,6,
516,5.3,6,
518,0.3,6,
527,10.5,6,
529,14.1,6,
530,0.4,6,
535,16,6,
536,5.9,6,
537,4.1,6,
539,1.5,6,
544,7.5,6,
545,5.9,6,
546,2.7,6,
547,5.6,6,
549,2.2,6,
551,8,6,
552,2.8,6,
553,2.3,6,
554,7.1,6,
556,19.7,6,
557,9.2,6,
558,1.1,6,
559,2.3,6,
560,1.6,6,
561,3.6,6,
562,1.9,6,
563,7,6,
564,4.4,6,
565,5.7,6,
567,2,6,
568,1.6,6,
570,5.9,6,
572,3.7,6,
576,9.9,6,
577,4,6,
578,1.5,6,
579,4.7,6,
580,1.9,6,
581,4.9,6,
582,0.3,6,
583,1.2,6,
586,5.2,6,
587,0.5,6,
589,5,6,
590,6,6,
591,5.2,6,
592,1.2,6,
593,1.7,6,
594,0.5,6,
595,5.2,6,
596,1.8,6,
601,2.2,6,
603,1.1,6,
604,2.2,6,
606,2.1,6,
609,2.4,6,
614,5.2,6,
617,1.3,6,
Standard2,0.4,7,
Standard3,2.7,7,
Standard4,2.9,7,
Standard5,3.8,7,
Standard6,3.8,7,
Standard7,0.2,7,
Control1,3.9,7,
Control2,3.4,7,
58,0.5,7,
61,1.8,7,
62,3.7,7,
64,8.4,7,
73,1.9,7,
74,NA,7,singlet
76,5.1,7,
83,2.7,7,
84,6.8,7,
85,0.3,7,
94,0.4,7,
97,3.6,7,
108,10.8,7,
112,12.3,7,
122,7.9,7,
127,3.2,7,
134,5.4,7,
138,12.8,7,
145,13.9,7,
147,0.1,7,
156,1.3,7,
163,2.9,7,
167,1.8,7,
169,10.6,7,
178,10.1,7,
180,4.3,7,
186,1.2,7,
187,0.4,7,
189,4.3,7,
190,5.7,7,
194,0.6,7,
195,3.2,7,
200,10.6,7,
204,2.5,7,
208,23.4,7,
209,3,7,
211,3.4,7,
212,0.8,7,
216,3.6,7,
221,6,7,
223,14,7,
226,9.4,7,
231,2.4,7,
233,1.5,7,
234,5.9,7,
244,4.2,7,
251,5.1,7,
252,2.8,7,
254,0.4,7,
255,7.5,7,
Standard2,0.5,8,
Standard3,5.4,8,
Standard4,5.7,8,
Standard5,0.5,8,
Standard6,7.4,8,
Standard7,NA,8,
Control1,3.3,8,
Control2,2.5,8,
257,6.5,8,
270,5.9,8,
271,5.3,8,
273,6.2,8,
276,0.8,8,
278,7.8,8,
280,2,8,
281,0.9,8,
282,6.7,8,
283,0.6,8,
287,2.6,8,
291,6.9,8,
296,1.1,8,
299,3.3,8,
300,1,8,
301,2.2,8,
307,11.7,8,
310,3.6,8,
311,1.7,8,
314,10.1,8,
315,8.2,8,
316,10.3,8,
318,2.5,8,
325,6.7,8,
326,0.4,8,
330,3.1,8,
335,18.2,8,
336,8.1,8,
339,0.5,8,
340,0.8,8,
341,2.5,8,
342,7.8,8,
343,7.1,8,
349,10.7,8,
351,1.4,8,
356,1.5,8,
357,6.2,8,
373,9.6,8,
401,0.5,8,
405,1.2,8,
407,2.8,8,
411,5.3,8,
416,3.3,8,
418,10.6,8,
420,9.6,8,
463,4.7,8,
464,4.9,8,
