"group","subj","date","time","sample_number","Cr","SG","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","stdsg_CP","cp_note","month","year"
"gn","stre",2015-09-29,2022-02-22 11:10:00,98,NA,NA,3,2016-10-28,NA,NA,"",NA,NA,NA,NA,"",9,2015
"tws","dubl",2015-10-13,2022-02-22 15:55:00,171,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",10,2015
"twn","pam",2015-10-22,2022-02-22 11:38:00,193,NA,NA,4,2016-11-01,NA,NA,"",NA,NA,NA,NA,"",10,2015
"gn","dann",2015-10-23,2022-02-22 09:46:00,197,NA,NA,4,2016-11-01,NA,NA,"",NA,NA,NA,NA,"",10,2015
"gn","mayh",2016-03-10,2022-02-22 12:20:00,523,NA,NA,9,2016-11-04,NA,NA,"",NA,NA,NA,NA,"",3,2016
"tws","atom",2015-08-10,2022-02-22 12:24:00,4,0.92,37,1,2016-10-26,20,1,"11/8/16",6775.61,1,5011.053384,4905.65479,"",8,2015
"twn","keny",2015-08-10,2022-02-22 15:23:00,6,0.79,48,1,2016-10-26,20,1,"11/8/16",6939.76,1,5977.035241,3873.053726,"",8,2015
"gn","renl",2015-08-13,2022-02-22 11:42:00,14,0.72,40,1,2016-10-26,20,1,"11/8/16",7006.71,1,6621.404245,4692.501921,"",8,2015
"gn","pira",2015-08-13,2022-02-22 11:44:00,15,0.92,40,1,2016-10-26,20,1,"11/8/16",12748.5,1,9428.437301,8537.867378,"",8,2015
"tws","burn",2015-08-17,2022-02-22 15:29:00,18,1,48,1,2016-10-26,20,1,"11/8/16",21392.6,1,14555.66418,11939.1289,"",8,2015
"tws","tatu",2015-08-26,2022-02-22 10:44:00,36,1.03,38,2,2016-10-27,20,1,"11/8/16",7839.54,1,5178.712626,5526.590565,"",8,2015
"tws","burn",2015-08-27,2022-02-22 17:10:00,38,1.14,50,2,2016-10-27,20,1,"11/8/16",15705.7,1,9373.912659,8414.679919,"",8,2015
"tws","dame",2015-08-27,2022-02-22 15:22:00,39,0.91,44,2,2016-10-27,20,9,"11/24/16",1920.22,14,1435.747448,1169.091814,"redo, CV's too hi, originally in batch 1, run 1",8,2015
"tws","peke",2015-08-27,2022-02-22 17:47:00,40,0.91,42,2,2016-10-27,20,1,"11/8/16",10607.2,1,7930.997659,6765.52923,"",8,2015
"tws","brog",2015-08-27,2022-02-22 17:10:00,41,1.05,44,2,2016-10-27,20,1,"11/8/16",6021.56,1,3902.00818,3666.119771,"",8,2015
"twn","onyx",2015-08-28,2022-02-22 10:42:00,43,0.65,38,2,2016-10-27,20,1,"11/8/16",18498.8,1,19364.15975,13040.98117,"",8,2015
"tws","brav",2015-09-02,2022-02-22 15:16:00,52,1.29,42,2,2016-10-27,20,1,"11/8/16",5906.94,1,3115.597206,3767.589489,"",9,2015
"tws","atom",2015-09-07,2022-02-22 14:06:00,59,1.6,46,2,2016-10-27,20,1,"11/8/16",52830.3,1,22466.29983,30766.31999,"",9,2015
"gn","ropa",2015-09-08,2022-02-22 12:11:00,68,0.8,38,2,2016-10-27,20,1,"11/8/16",3746.36,1,3186.309638,2641.04754,"",9,2015
"gn","spad",2015-09-10,2022-02-22 10:43:00,71,1.19,48,2,2016-10-27,20,1,"11/8/16",11281.6,1,6450.482367,6296.218157,"",9,2015
"tws","dubl",2015-09-10,2022-02-22 10:50:00,72,2.05,39,2,2016-10-27,20,1,"11/8/16",11742.5,1,3897.401646,8065.77809,"",9,2015
"gn","dext",2015-09-15,2022-02-22 12:00:00,77,0.77,41,2,2016-10-27,20,1,"11/8/16",1374.82,1,1214.852558,898.281162,"",9,2015
"tws","brog",2015-09-16,2022-02-22 14:39:00,79,2.2,51,2,2016-10-27,20,1,"11/8/16",55056.8,1,17027.72946,28919.52112,"",9,2015
"tws","burn",2015-09-28,2022-02-22 09:24:00,93,0.73,38,2,2016-10-27,20,9,"11/24/16",2245.64,14,2093.079537,1583.094523,"redo, CV's too hi, originally in batch 1, run 1",9,2015
"twn","amos",2015-09-29,2022-02-22 11:05:00,99,0.96,43,3,2016-10-28,20,1,"11/8/16",4327.99,1,3067.492235,2696.29931,"",9,2015
"gn","spad",2015-09-29,2022-02-22 14:21:00,100,1.27,54,3,2016-10-28,20,1,"11/8/16",4546.74,1,2435.93029,2255.571861,"",9,2015
"gn","stre",2015-09-30,2022-02-22 08:49:00,105,1.11,47,3,2016-10-28,20,1,"11/8/16",18852.2,1,11555.99955,10745.19962,"",9,2015
"twn","amos",2015-09-30,2022-02-22 12:28:00,106,1.29,52,3,2016-10-28,20,1,"11/8/16",12978.6,1,6845.522367,6686.129925,"",9,2015
"tws","dame",2015-10-01,2022-02-22 11:24:00,113,0.41,37,11,2016-11-04,20,1,"11/8/16",5251.89,1,8715.658816,3802.456065,"",10,2015
"gn","ropa",2015-10-01,2022-02-22 14:52:00,115,0.6,40,11,2016-11-04,20,1,"11/8/16",6681.1,1,7576.439824,4474.435874,"",10,2015
"gn","mayh",2015-10-01,2022-02-22 15:06:00,116,0.56,40,11,2016-11-04,20,1,"11/8/16",13922.6,1,16916.1207,9324.180285,"",10,2015
"gn","pira",2015-10-01,2022-02-22 14:51:00,117,0.88,44,3,2016-10-28,20,1,"11/8/16",6695.01,1,5176.509487,4076.137833,"",10,2015
"tws","atom",2015-10-05,2022-02-22 14:55:00,124,1.59,52,3,2016-10-28,20,1,"11/8/16",26280,1,11245.9641,13538.55535,"",10,2015
"tws","sevi",2015-10-05,2022-02-22 15:51:00,125,0.8,38,3,2016-10-28,20,1,"11/8/16",17775.6,1,15118.29232,12531.15148,"",10,2015
"twn","safi",2015-10-06,2022-02-22 12:13:00,128,1.37,37,3,2016-10-28,20,1,"11/8/16",31491.5,1,15640.16162,22800.3719,"",10,2015
"gn","ropa",2015-10-06,2022-02-22 09:56:00,131,1.06,50,3,2016-10-28,20,1,"11/8/16",21324.3,1,13687.91737,11424.97049,"",10,2015
"gn","mend",2015-10-07,2022-02-22 14:36:00,141,1.11,38,3,2016-10-28,20,1,"11/8/16",19141.5,1,11733.33432,13494.0613,"",10,2015
"gn","ting",2015-10-07,2022-02-22 15:42:00,143,0.95,43,3,2016-10-28,20,1,"11/8/16",29508.2,1,21134.28548,18383.34638,"",10,2015
"gn","dais",2015-10-07,2022-02-22 16:38:00,144,0.88,37,3,2016-10-28,20,1,"11/8/16",2769.48,1,2141.332051,2005.149769,"",10,2015
"tws","atom",2015-10-08,2022-02-22 11:40:00,151,1.03,45,3,2016-10-28,20,1,"11/8/16",24617.5,1,16262.04574,14654.86224,"",10,2015
"gn","stre",2015-10-09,2022-02-22 14:30:00,161,1.12,43,3,2016-10-28,20,1,"11/8/16",19075.4,1,11588.41627,11883.80469,"",10,2015
"tws","sevi",2015-10-12,2022-02-22 14:48:00,162,0.8,49,3,2016-10-28,20,1,"11/8/16",16867.4,1,14345.86083,9221.517007,"",10,2015
"tws","brog",2015-10-13,2022-02-22 12:07:00,165,1.49,48,3,2016-10-28,20,1,"11/8/16",3259.89,1,1488.624402,1819.332241,"",10,2015
"tws","sevi",2015-10-15,2022-02-22 10:55:00,173,0.82,45,4,2016-11-01,20,1,"11/8/16",6047.76,1,5018.213706,3600.247371,"",10,2015
"tws","brog",2015-10-15,2022-02-22 10:46:00,175,1.52,42,4,2016-11-01,20,1,"11/8/16",15572.6,1,6970.854161,9932.581688,"",10,2015
"tws","boyd",2015-10-15,2022-02-22 14:38:00,177,0.92,42,4,2016-11-01,20,1,"11/8/16",9537.7,1,7053.818602,6083.37621,"",10,2015
