subj,group,year,month,sex,age,mrank,log2_avg_neo,log2_avg_cp_tar,avg_cr_resid,avg_rain,n_partners,r,f,m
allo,twn,2016,1,M,2.7679671457905544,0.636,NA,12.78449239396579,0.2599866784439596,2.8548387096774195,6,0.39867109634551495,0.22259136212624583,0.20930232558139536
allo,twn,2016,2,M,2.8528405201916494,0.636,8.417524558971222,13.138794132173278,-0.14588104614852665,1.3344827586206895,3,0.3972222222222222,0.24444444444444444,0.225
allo,twn,2016,3,M,2.9322381930184807,0.636,8.25182562400001,12.520331445659618,-4.6198017282875203e-4,2.5,9,0.35333333333333333,0.2,0.16
allo,twn,2015,8,M,2.349075975359343,0.636,8.765139012570174,12.923487537367999,0.16372868751339653,8.241935483870968,5,0.2388888888888889,0.37222222222222223,0.15
allo,twn,2015,9,M,2.433949349760438,0.636,7.515011302921826,11.780186984499071,-0.37526592240042517,7.55,10,0.23154362416107382,0.43288590604026844,0.1342281879194631
allo,twn,2015,10,M,2.516084873374401,0.636,8.658973470121865,10.361173158746842,-0.0199910517324124,7.490322580645161,1,0.25,0.31333333333333335,0.21666666666666667
allo,twn,2015,11,M,2.6009582477754964,0.636,9.837896932569976,13.99973707014859,-0.34358940775224006,9.96,5,0.31333333333333335,0.27666666666666667,0.20666666666666667
allo,twn,2015,12,M,2.6830937713894594,0.636,8.470021389686016,13.105902819361832,0.060525962190771485,5.9,7,0.2966666666666667,0.37333333333333335,0.17333333333333334
amos,twn,2016,1,M,5.9110198494182065,0.636,9.907467694526082,14.068679843743398,0.06412115097449136,2.8548387096774195,5,0.40863787375415284,0.27906976744186046,0.1893687707641196
amos,twn,2016,2,M,5.9958932238193015,0.636,8.764881587202574,12.840405776750286,-0.17046198017282874,1.3344827586206895,3,0.45,0.31666666666666665,0.14444444444444443
amos,twn,2016,3,M,6.075290896646133,0.636,8.221563373888696,11.792321319972759,-0.11566645020812545,2.5,6,0.37142857142857144,0.2357142857142857,0.21428571428571427
amos,twn,2015,9,M,5.577002053388091,0.636,9.141600862734482,11.68858367345256,-0.08180362411198817,7.55,6,0.34,0.3566666666666667,0.17
amos,twn,2015,10,M,5.6591375770020536,0.636,9.010732141071145,12.474943489807897,-0.13294394883391608,7.490322580645161,3,0.3333333333333333,0.2633333333333333,0.20333333333333334
amos,twn,2015,11,M,5.7440109514031485,0.636,8.887750035130843,13.40922531613654,0.4500405793057414,9.96,5,0.37333333333333335,0.27,0.17333333333333334
amos,twn,2015,12,M,5.8261464750171115,0.636,8.915366451290263,11.942861442226862,0.2122575329637836,5.9,9,0.3010033444816054,0.3311036789297659,0.1806020066889632
atom,tws,2016,1,F,6.896646132785763,0.556,9.541404119685986,14.19500644010623,-0.031912864791164036,2.8548387096774195,9,0.38666666666666666,0.26,0.14
atom,tws,2016,2,F,6.981519507186858,0.556,8.835554735453991,13.618661455556605,0.17354670480495177,1.3344827586206895,11,0.2972222222222222,0.375,0.15555555555555556
atom,tws,2016,3,F,7.060917180013689,0.556,8.91051337159772,12.240550204679153,-0.049583773649927824,2.5,26,0.4033333333333333,0.22333333333333333,0.16666666666666666
atom,tws,2015,8,F,6.477754962354552,0.556,9.079754418952692,12.270350543333,-0.015275912741010669,8.241935483870968,11,0.3388888888888889,0.37222222222222223,0.11666666666666667
atom,tws,2015,9,F,6.562628336755647,0.556,9.67955451951674,14.138334000322073,0.2659409171301839,7.55,9,0.41333333333333333,0.2966666666666667,0.17333333333333334
atom,tws,2015,10,F,6.6447638603696095,0.556,9.743086250004083,13.7473560345119,0.0841812858514089,7.490322580645161,8,0.384375,0.284375,0.140625
atom,tws,2015,11,F,6.729637234770705,0.556,9.148912298332167,10.957540829331005,0.26572237203092874,9.96,18,0.33222591362126247,0.2857142857142857,0.18604651162790697
atom,tws,2015,12,F,6.811772758384668,0.556,8.476982933533526,12.08486012984079,0.13644478355740852,5.9,12,0.31,0.39,0.18666666666666668
bike,tws,2016,1,M,6.806297056810404,0.261,10.276994789545032,13.66748086248093,0.022355983021539447,2.8548387096774195,6,0.33,0.39,0.16
bike,tws,2016,2,M,6.891170431211499,0.261,9.185821643661754,14.49145020500125,0.20852763457070028,1.3344827586206895,5,0.30919220055710306,0.5069637883008357,0.10027855153203342
bike,tws,2016,3,M,6.97056810403833,0.261,8.954121952645739,11.448029086149909,-0.07431879922026187,2.5,14,0.5133333333333333,0.15666666666666668,0.14
bike,tws,2015,8,M,6.3874058863791925,0.261,8.538929298165684,10.259155057184712,-0.013200990620893388,8.241935483870968,4,0.37777777777777777,0.3388888888888889,0.1388888888888889
bike,tws,2015,9,M,6.4722792607802875,0.261,8.056784119341561,12.763801140862446,-0.07355258329292622,7.55,6,0.4166666666666667,0.3333333333333333,0.16666666666666666
bike,tws,2015,10,M,6.55441478439425,0.261,9.282099965408456,13.17065228591915,0.04619057567933663,7.490322580645161,2,0.3887147335423197,0.32601880877742945,0.18181818181818182
bike,tws,2015,11,M,6.639288158795345,0.261,9.191623240997979,12.974891035827802,0.1232986822454806,9.96,5,0.32,0.4,0.16
bike,tws,2015,12,M,6.721423682409308,0.261,11.990602283475784,13.65330864541975,0.6201854856781908,5.9,6,0.36666666666666664,0.29,0.17666666666666667
blas,tws,2016,1,M,3.9507186858316223,0.13,9.361291739354256,14.292360387809406,-0.2444269974455601,2.8548387096774195,9,0.30333333333333334,0.32666666666666666,0.15333333333333332
blas,tws,2016,2,M,4.035592060232717,0.13,7.901547357580793,13.040877797949548,-0.15705685052487184,1.3344827586206895,8,0.3398328690807799,0.31754874651810583,0.17827298050139276
blas,tws,2016,3,M,4.114989733059549,0.13,8.592437957272388,11.359719298583146,-0.04901321060409712,2.5,18,0.3859060402684564,0.18456375838926176,0.15100671140939598
blas,tws,2015,8,M,3.5318275154004106,0.13,7.0409926811757995,12.55525922084025,0.11010896192503845,8.241935483870968,0,0.4111111111111111,0.3111111111111111,0.20555555555555555
blas,tws,2015,10,M,3.698836413415469,0.13,7.800781879598607,11.907447212908925,-0.05670131775451939,7.490322580645161,6,0.2625,0.378125,0.209375
blas,tws,2015,11,M,3.783709787816564,0.13,9.530472941699188,13.248783327902055,0.2416106093708397,9.96,16,0.39666666666666667,0.25333333333333335,0.18333333333333332
blas,tws,2015,12,M,3.865845311430527,0.13,9.954650854039032,14.288207277749994,0.5436589979454449,5.9,2,0.31,0.34,0.23
bong,tws,2016,1,M,2.6995208761122518,0.696,8.270376125098881,11.638876683362735,-0.27436783028444756,2.8548387096774195,16,0.35333333333333333,0.30333333333333334,0.19
bong,tws,2016,2,M,2.784394250513347,0.696,8.767981498334114,11.527361717123156,-0.2590763140891593,1.3344827586206895,12,0.3656509695290859,0.3157894736842105,0.15512465373961218
bong,tws,2016,3,M,2.863791923340178,0.696,8.885416960867511,11.786604460088862,-0.0027015771058859564,2.5,20,0.34,0.20666666666666667,0.18
bong,tws,2015,8,M,2.2806297056810405,0.696,8.432764560621006,11.600291316348699,-0.21939689085928452,8.241935483870968,4,0.4111111111111111,0.18333333333333332,0.22777777777777777
bong,tws,2015,9,M,2.3655030800821355,0.696,8.25416037718112,12.099118153156752,-0.019749206919180865,7.55,5,0.27666666666666667,0.31333333333333335,0.23666666666666666
bong,tws,2015,10,M,2.4476386036960984,0.696,8.442639760653456,10.28279109112279,-0.12634681061196143,7.490322580645161,4,0.359375,0.303125,0.18125
bong,tws,2015,11,M,2.532511978097194,0.696,10.71233021838622,11.995929321960705,0.06881690505752378,9.96,7,0.4033333333333333,0.21333333333333335,0.22666666666666666
bong,tws,2015,12,M,2.614647501711157,0.696,9.883155770887265,10.666135083583692,0.22634774705683136,5.9,12,0.2966666666666667,0.4066666666666667,0.17
boyd,tws,2016,1,F,3.780971937029432,0.217,9.702031329523061,14.257751875484168,-0.08491930564632892,2.8548387096774195,10,0.3745819397993311,0.25752508361204013,0.21739130434782608
boyd,tws,2016,2,F,3.865845311430527,0.217,8.544237791222542,12.556379900084961,-0.0466547446394794,1.3344827586206895,10,0.3194444444444444,0.3277777777777778,0.16944444444444445
boyd,tws,2016,3,F,3.9452429842573578,0.217,8.969175739197999,12.23452703379252,-0.1771862487578198,2.5,34,0.4166666666666667,0.19,0.21
boyd,tws,2015,8,F,3.36208076659822,0.217,8.208963054935081,12.020062969668352,-0.16341845120400192,8.241935483870968,14,0.43333333333333335,0.20555555555555555,0.12777777777777777
boyd,tws,2015,9,F,3.4469541409993156,0.217,7.0919086117147,11.392359846698264,-0.1429959681356989,7.55,12,0.35,0.2733333333333333,0.19
boyd,tws,2015,10,F,3.5290896646132786,0.217,8.611947743452209,11.868042688478953,0.020022702728160088,7.490322580645161,3,0.278125,0.378125,0.203125
boyd,tws,2015,11,F,3.6139630390143735,0.217,8.954949881974645,11.967554774650946,-0.0242947236238957,9.96,9,0.4033333333333333,0.29,0.18
