"subj","month","year","avg_neo_sg","avg_cr_resid","avg_stdsg_CP","med_neo_sg","med_cr_resid","med_stdsg_CP","avg_fgc","med_fgc","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","group","fai","fai_cat","avg_rain","month.name","mum","sex","bday","weaning","mid","age"
"allo",1,2016,NA,0.259936752904501,6833.972437,NA,0.259936752904501,6833.972437,1061.3,1061.3,"jan",0.0598006644518272,0.00996677740863787,0.00332225913621262,0.398671096345515,0.222591362126246,0.209302325581395,0.026578073089701,0,0,301,0.636,"twn",187602350.308333,"hi",2.85483870967742,"jan","ambe","M",2013-04-09,3.394934976,2016-01-15,2.76796714579055
"allo",2,2016,341.922264808362,-0.145883602225283,8346.1677095,341.922264808362,-0.145883602225283,8346.1677095,1323.05,1323.05,"feb",0.0166666666666667,0,0,0.397222222222222,0.244444444444444,0.225,0,2,0,360,0.636,"twn",572666.5375,"low",1.33448275862069,"feb","ambe","M",2013-04-09,3.394934976,2016-02-15,2.85284052019165
"allo",3,2016,304.822507852919,-0.000508130575179691,5270.419319,304.822507852919,-0.000508130575179691,5270.419319,706.8,706.8,"mar",0.226666666666667,0,0,0.353333333333333,0.2,0.16,0,1,1,300,0.636,"twn",106302595.085417,"med",2.5,"mar","ambe","M",2013-04-09,3.394934976,2016-03-15,2.93223819301848
"allo",8,2015,435.080640243903,0.163637981426471,6193.235455,435.080640243903,0.163637981426471,6193.235455,1453.35,1453.35,"aug",0.0444444444444444,0.0555555555555556,0,0.238888888888889,0.372222222222222,0.15,0,0,0,180,0.636,"twn",521089.197916667,"low",8.24193548387097,"aug","ambe","M",2013-04-09,3.394934976,2015-08-15,2.34907597535934
"allo",9,2015,182.912682926829,-0.375350126052557,3378.285813,182.912682926829,-0.375350126052557,3378.285813,1296.75,1296.75,"sep",0.0838926174496644,0.00671140939597315,0,0.231543624161074,0.432885906040268,0.134228187919463,0,0,1,298,0.636,"twn",6504451.17291667,"low",7.55,"sep","ambe","M",2013-04-09,3.394934976,2015-09-15,2.43394934976044
"allo",10,2015,404.213436796894,-0.0198286005692759,1259.882625025,341.593147502904,-0.00995269218245097,1235.04117805,918.95,918.95,"oct",0,0.0133333333333333,0,0.25,0.313333333333333,0.216666666666667,0,0,0,300,0.636,"twn",5597218.68541667,"low",7.49032258064516,"oct","ambe","M",2013-04-09,3.394934976,2015-10-15,2.5160848733744
"allo",11,2015,915.170623306233,-0.343444433208779,16939.69322,915.170623306233,-0.343444433208779,16939.69322,1070.7,1070.7,"nov",0.0333333333333333,0.02,0,0.313333333333333,0.276666666666667,0.206666666666667,0,4,1,300,0.636,"twn",119557042.557833,"med",9.96,"nov","ambe","M",2013-04-09,3.394934976,2015-11-15,2.6009582477755
"allo",12,2015,354.593281068525,0.0606217364278897,9113.5898015,354.593281068525,0.100678942325841,6792.904646,403.25,403.25,"dec",0.0133333333333333,0.06,0,0.296666666666667,0.373333333333333,0.173333333333333,0,0,0,300,0.636,"twn",188108038.364583,"hi",5.9,"dec","ambe","M",2013-04-09,3.394934976,2015-12-15,2.68309377138946
"amos",1,2016,960.384090723914,0.0641460447287447,17102.3543566667,1094.42219512195,0.00623872473442461,18554.74223,620.2,620.2,"jan",0.0299003322259136,0.00664451827242525,0.0232558139534884,0.408637873754153,0.27906976744186,0.18936877076412,0,0,0,301,0.636,"twn",187602350.308333,"hi",2.85483870967742,"jan","ambe","M",2010-02-16,2.650239562,2016-01-15,5.91101984941821
"amos",2,2016,435.003014135255,-0.17050813057518,7191.134302,435.003014135255,-0.17050813057518,7191.134302,2244.9,2244.9,"feb",0.00277777777777778,0,0,0.45,0.316666666666667,0.144444444444444,0,3,2,360,0.636,"twn",572666.5375,"low",1.33448275862069,"feb","ambe","M",2010-02-16,2.650239562,2016-02-15,5.9958932238193
"amos",3,2016,298.49508660304,-0.115720804257452,2808.1373405,298.49508660304,-0.115720804257452,2808.1373405,1007.93333333333,807.9,"mar",0.0392857142857143,0.0357142857142857,0.0285714285714286,0.371428571428571,0.235714285714286,0.214285714285714,0,3,2,280,0.636,"twn",106302595.085417,"med",2.5,"mar","ambe","M",2010-02-16,2.650239562,2016-03-15,6.07529089664613
"amos",9,2015,564.801794728127,-0.081769245977562,3295.8585722,630.757530199796,-0.0907758569992987,2696.29931,1096.63333333333,1159,"sep",0.0433333333333333,0.00666666666666667,0.00666666666666667,0.34,0.356666666666667,0.17,0,0,0,300,0.636,"twn",6504451.17291667,"low",7.55,"sep","ambe","M",2010-02-16,2.650239562,2015-09-15,5.57700205338809
"amos",10,2015,515.822945830608,-0.132910831536198,5003.46331966667,510.001707317073,-0.143444433208779,3696.829268,845.7,850.5,"oct",0.06,0.0266666666666667,0.01,0.333333333333333,0.263333333333333,0.203333333333333,0,1,2,300,0.636,"twn",5597218.68541667,"low",7.49032258064516,"oct","ambe","M",2010-02-16,2.650239562,2015-10-15,5.65913757700205
"amos",11,2015,473.673790166473,0.450055678114217,9687.236218,473.673790166473,0.450055678114217,9687.236218,587.766666666667,724.1,"nov",0.0133333333333333,0.0366666666666667,0.0166666666666667,0.373333333333333,0.27,0.173333333333333,0,0,2,300,0.636,"twn",119557042.557833,"med",9.96,"nov","ambe","M",2010-02-16,2.650239562,2015-11-15,5.74401095140315
"amos",12,2015,482.828307464893,0.212447357514937,4499.0829245,482.828307464893,0.212447357514937,4499.0829245,1135.25,1135.25,"dec",0.110367892976589,0,0.0133779264214047,0.301003344481605,0.331103678929766,0.180602006688963,0,0,0,299,0.636,"twn",188108038.364583,"hi",5.9,"dec","ambe","M",2010-02-16,2.650239562,2015-12-15,5.82614647501711
"atom",1,2016,745.158810518346,-0.0316668759655693,18163.335125,745.158810518346,-0.0316668759655693,18163.335125,1018.45,1018.45,"jan",0,0.03,0.0866666666666667,0.386666666666667,0.26,0.14,0,1,2,300,0.556,"tws",238110609.245833,"hi",2.85483870967742,"jan","arte","F",2009-02-21,2.795345654,2016-01-15,6.89664613278576
"atom",2,2016,456.843030403645,0.173509092826771,11324.577475,456.843030403645,0.173509092826771,11324.577475,1079.4,1079.4,"feb",0.00277777777777778,0.00833333333333333,0.0805555555555556,0.297222222222222,0.375,0.155555555555556,0,5,8,360,0.556,"tws",3108847.49027778,"low",1.33448275862069,"feb","arte","F",2009-02-21,2.795345654,2016-02-15,6.98151950718686
"atom",3,2016,481.206850779665,-0.0495366930598478,5320.808605,555.396933797909,-0.0435082985940165,4098.3443795,680.85,680.85,"mar",0.03,0.0133333333333333,0.0433333333333333,0.403333333333333,0.223333333333333,0.166666666666667,0,2,1,300,0.556,"tws",108977575.177778,"med",2.5,"mar","arte","F",2009-02-21,2.795345654,2016-03-15,7.06091718001369
"atom",8,2015,541.101120632828,-0.0153581127670279,4905.65479,541.101120632828,-0.0153581127670279,4905.65479,787.9,787.9,"aug",0,0.00555555555555556,0.0777777777777778,0.338888888888889,0.372222222222222,0.116666666666667,0,2,1,180,0.556,"tws",7755239.42916667,"low",8.24193548387097,"aug","arte","F",2009-02-21,2.795345654,2015-08-15,6.47775496235455
