subj,group,year,month,sex,age,mrank,log2_neo,log2_cp_tar,cr_resid,sample_interval
petr,twn,2015,8,F,5.366187542778919,0.091,9.017456693657978,11.41235044924293,0.34917141220009695,15
boyd,tws,2015,8,F,3.36208076659822,0.217,8.208963054935081,12.020062969668352,-0.16341845120400192,48
bike,tws,2015,8,M,6.3874058863791925,0.261,8.538929298165684,10.259155057184712,-0.013200990620893388,39
atom,tws,2015,8,F,6.477754962354552,0.556,9.079754418952692,12.270350543333,-0.015275912741010669,28
ruki,twn,2015,8,M,4.479123887748118,0.273,8.909728068561964,11.954358018025042,0.31844530226014145,22
keny,twn,2015,8,M,5.516769336071184,0.455,10.012519032512952,11.808279484959739,-0.43658426206805834,18
peke,tws,2015,8,M,4.6242299794661195,0.174,9.18015897969032,12.74135559443218,-0.0608285877999183,14
king,twn,2015,8,M,3.783709787816564,0.364,7.419815652822064,11.614315789132537,0.05641059224775992,68
spad,gn,2015,8,F,5.5715263518138265,0.368,7.6202768696544405,11.741724549152423,-0.029891038074961563,1
allo,twn,2015,8,M,2.349075975359343,0.636,8.765139012570174,12.923487537367999,0.16372868751339653,49
mole,gn,2015,8,F,2.329911019849418,0.737,7.005338411381506,10.234982696837164,-0.2098910380749615,28
dann,gn,2015,8,M,2.532511978097194,0,8.105940202446627,11.385843345738856,-0.3493045783999621,8
ropa,gn,2015,8,M,5.650924024640657,0.263,NA,12.113183195298062,-0.006271312486603401,11
renl,gn,2015,8,M,2.299794661190965,0.263,8.89313279771431,12.248978903610757,-0.29370115863465773,7
pira,gn,2015,8,M,4.547570157426421,0.947,8.091355612466796,13.009417268107974,-0.09370115863465765,12
spad,gn,2015,8,F,5.5715263518138265,0.368,8.859996180067832,11.867062209427079,0.15570527637610435,28
burn,tws,2015,8,F,6.458590006844627,0.13,NA,12.671887852542215,0.26372868751339656,3
burn,tws,2015,8,F,6.458590006844627,0.13,8.578124635348802,13.648551417392778,-0.2265842620680584,10
mend,gn,2015,8,F,5.5277207392197125,0.737,NA,12.298451954255995,0.0792739861290274,3
dubl,tws,2015,8,M,6.444900752908967,0.957,8.271940956798305,10.86611630151128,0.2553986391054187,13
petr,twn,2015,8,F,5.366187542778919,0.091,9.033259775470826,11.975577061436564,-0.04429472362389561,19
renl,gn,2015,8,M,2.299794661190965,0.263,8.883599735484419,10.243050581076577,-0.13639098207037337,1
dean,gn,2015,8,M,4.596851471594798,0.211,6.991199617690583,11.604831522648068,-0.1477135420258984,15
mend,gn,2015,8,F,5.5277207392197125,0.737,6.761865899378272,11.020826778512543,-0.11028685203322891,18
renl,gn,2015,8,M,2.299794661190965,0.263,8.98418967853722,11.437463719769411,-0.16460136089458122,17
dann,gn,2015,8,M,2.532511978097194,0,7.589941265408535,13.900025173126664,-0.49341845120399724,40
safi,twn,2015,8,F,2.4668035592060233,0.818,8.201625378840122,12.638658114859807,-0.39072601387097255,17
pam,twn,2015,8,F,2.43668720054757,0.091,9.778292193880908,11.29442096605321,-0.04978587063235114,2
bong,tws,2015,8,M,2.2806297056810405,0.696,8.432764560621006,11.600291316348699,-0.21939689085928452,25
ropa,gn,2015,8,M,5.650924024640657,0.263,6.834107157288415,16.058056121116515,0.0405689178310669,14
pira,gn,2015,8,M,4.547570157426421,0.947,7.297961681917723,9.589191873629154,-0.07320099062089351,35
peke,tws,2015,8,M,4.6242299794661195,0.174,8.384382710107257,13.300212170894333,-0.06427762796907138,2
blas,tws,2015,8,M,3.5318275154004106,0.13,7.0409926811757995,12.55525922084025,0.11010896192503845,62
tatu,tws,2015,8,M,6.455852156057495,1,6.946973161251813,11.333140011062184,-0.023200990620893463,1
fris,tws,2015,8,M,6.464065708418891,0.625,9.934360612472311,11.802847560854678,-0.0242947236238957,29
tatu,tws,2015,8,M,6.455852156057495,1,9.670596332993245,12.640907013973914,0.06866754577285719,21
pam,twn,2015,8,F,2.43668720054757,0.091,NA,13.083179737107587,-0.1799594206942587,12
burn,tws,2015,8,F,6.458590006844627,0.13,9.264146497427431,13.064921964527345,-0.1406571093772441,8
dame,tws,2015,8,F,3.6030116358658453,0.957,8.551558788093313,9.879872088005195,-0.20946105319068953,6
peke,tws,2015,8,M,4.6242299794661195,0.174,9.706317583445774,12.663933305143656,-0.15641069162250662,1
brog,tws,2015,8,F,6.576317590691307,0.826,9.135053532490636,12.15609358801693,-0.06946105319068956,1
keny,twn,2015,8,M,5.516769336071184,0.455,9.188887863256245,12.27937067311643,0.18572237203092865,6
onyx,twn,2015,8,M,2.507871321013005,0.909,8.680595224912008,13.660498845740511,-0.3113324542271428,35
brog,tws,2015,8,F,6.576317590691307,0.826,9.344650447932583,11.997554968330972,0.04570527637610436,19
peke,tws,2015,8,M,4.6242299794661195,0.174,9.244350297613332,12.46957523492127,0.03372868751339653,41
dubl,tws,2015,8,M,6.444900752908967,0.957,10.18184109613532,13.063655697564439,0.34228645797410157,10
spor,gn,2015,8,F,1.9356605065023955,0.368,8.357778200992522,11.629640840645799,-0.18939689085928454,14
stre,gn,2015,9,F,6.532511978097194,0.684,9.083228608421157,12.430239905611222,0.040040579305741286,2
davi,twn,2015,9,F,2.0150581793292264,1,6.7372226063067595,11.772267011003631,-0.0077713920465343235,29
