"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","sex","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","neo_CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","fai","fai_cat","avg_rain","cr_resid"
"twn","petr","2015-08-04",5.36618754277892,2015,8,"2022-03-05 14:20:00",1,2483.770154,518.232862644416,"F",0.83,19,"aug","park","2010-04-03",2.565366188,"2015-08-15",9.189,6.8,7,40,"2018-04-17",NA,1.40992725716731,1,"2016-10-26",5,5,"11/21/16",1761.63,9,1444.125915,"","aug",0,0.0555555555555556,0.172222222222222,0.3,0.277777777777778,0.127777777777778,0,0,0,180,0.091,521089.197916667,"low",8.24193548387097,0.349224143000711
"tws","boyd","2015-08-05",3.36208076659822,2015,8,"2022-03-05 14:36:00",2,3047.725749,295.899419279907,"F",0.72,35,"aug","buai","2012-04-04",2.740588638,"2015-08-15",9.665,7.6,7,40,"2018-04-17",NA,0.765389082462253,1,"2016-10-26",10,3,"11/16/16",3981.93,3,3762.95982,"","aug",0,0.0888888888888889,0.0333333333333333,0.433333333333333,0.205555555555556,0.127777777777778,0,0,2,180,0.217,7755239.42916667,"low",8.24193548387097,-0.163508298594012
"tws","bike","2015-08-06",6.38740588637919,2015,8,"2022-03-05 16:20:00",3,1201.473339,371.940824622532,"M",0.18,7,"aug","bif","2009-03-26",2.264202601,"2015-08-15",9.719,17.8,17,10,"2018-05-15",NA,3.82694541231127,1,"2016-10-26",2,8,"11/23/16",313.951,12,1186.746124,"","aug",0.0222222222222222,0.0222222222222222,0.0333333333333333,0.377777777777778,0.338888888888889,0.138888888888889,0,2,0,180,0.261,7755239.42916667,"low",8.24193548387097,-0.0128036095575319
"tws","atom","2015-08-10",6.47775496235455,2015,8,"2022-03-05 12:24:00",4,4905.65479,541.101120632828,"F",0.92,37,"aug","arte","2009-02-21",2.795345654,"2015-08-15",18.684,0.6,19,40,"2018-05-16",NA,0.724016699626456,1,"2016-10-26",20,1,"11/8/16",6775.61,1,5011.053384,"","aug",0,0.00555555555555556,0.0777777777777778,0.338888888888889,0.372222222222222,0.116666666666667,0,2,1,180,0.556,7755239.42916667,"low",8.24193548387097,-0.0153581127670279
"twn","ruki","2015-08-10",4.47912388774812,2015,8,"2022-03-05 15:20:00",5,2835.575203,480.944986449865,"M",0.63,12,"aug","rave","2011-02-21",2.770704997,"2015-08-15",5.386,14.7,7,40,"2018-04-17",NA,2.23238482384824,1,"2016-10-26",5,5,"11/21/16",1270.2,9,1371.829113,"","aug",0.0552486187845304,0.0497237569060773,0.0331491712707182,0.292817679558011,0.359116022099448,0.132596685082873,0,0,1,181,0.273,521089.197916667,"low",8.24193548387097,0.318674316899469
"twn","keny","2015-08-10",5.51676933607118,2015,8,"2022-03-05 15:23:00",6,3873.053726,1032.92445799458,"M",0.79,48,"aug","kayl","2010-02-07",2.453114305,"2015-08-15",23.135,9.4,17,80,"2018-05-15",NA,0.55809620596206,1,"2016-10-26",20,1,"11/8/16",6939.76,1,5977.035241,"","aug",0.065,0,0,0.315,0.385,0.13,0,1,1,200,0.455,521089.197916667,"low",8.24193548387097,-0.436523230530678
"tws","peke","2015-08-11",4.62422997946612,2015,8,"2022-03-05 10:38:00",7,5271.844908,580.100470688917,"M",0.42,19,"aug","pans","2010-12-30",2.814510609,"2015-08-15",10.286,6.7,7,40,"2018-04-17",NA,1.40992725716731,1,"2016-10-26",5,5,"11/21/16",3739.09,9,6057.383703,"","aug",0.0446927374301676,0.0111731843575419,0.00558659217877095,0.452513966480447,0.251396648044693,0.173184357541899,0,0,2,179,0.174,7755239.42916667,"low",8.24193548387097,-0.0607758569992987
"twn","king","2015-08-12",3.78370978781656,2015,8,"2022-03-05 10:29:00",8,2034.059756,171.232845528455,"M",0.44,15,"aug","kipp","2011-11-02",2.045174538,"2015-08-15",2.397,4.1,7,40,"2018-04-17",NA,1.78590785907859,1,"2016-10-26",5,5,"11/24/16",1138.95,9,1761.2477,"redid in batch 14 run 9, but wasn't necessary!","aug",0,0.0222222222222222,0.0166666666666667,0.355555555555556,0.272222222222222,0.216666666666667,0,1,0,180,0.364,521089.197916667,"low",8.24193548387097,0.0565555667912209
"gn","spad","2015-08-12",5.57152635181383,2015,8,"2022-03-05 11:56:00",9,1693.982871,196.757779646762,"F",0.7,29,"aug","spik","2010-01-18",2.258726899,"2015-08-15",5.325,4.7,6,40,"2018-01-26",NA,0.923745444350995,1,"2016-10-26",10,3,"11/16/16",1833.82,3,1782.490079,"","aug",0,0.0773480662983425,0.143646408839779,0.408839779005525,0.176795580110497,0.160220994475138,0,1,2,181,0.368,44096.4490384615,"low",8.24193548387097,-0.0299698680398773
"twn","allo","2015-08-12",2.34907597535934,2015,8,"2022-03-05 14:50:00",10,6193.235455,435.080640243902,"M",0.97,32,"aug","ambe","2013-04-09",3.394934976,"2015-08-15",12.993,3.6,7,40,"2018-04-17",NA,0.837144308943089,1,"2016-10-26",10,3,"11/16/16",7398.05,3,5189.362204,"","aug",0.0444444444444444,0.0555555555555556,0,0.238888888888889,0.372222222222222,0.15,0,0,0,180,0.636,521089.197916667,"low",8.24193548387097,0.163637981426471
