group,subj,date,age,year,month,time,sample_number,stdsg_CP,neo_sg,sex,Cr,SG,month.name,mum,bday,weaning,mid,neo_value,neo_CV,neo_plate_number,neo_dilution,neo_date_assayed,neo_note,SG_corr_fac,Cr.plate.number,Cr.date,cp_dilution,cp_run,cp_assay_date,pg.ml_ucp,cp_batch,stdcr_CP,cp_note,cr_resid
twn,petr,2015-08-04,5.366187542778919,2015,8,2022-03-05T22:20:00Z,1,2483.770154,518.232862644416,F,0.83,19,aug,park,2010-04-03,2.565366188,2015-08-15,9.189,6.8,7,40,2018-04-17,,1.4099272571673085,1,2016-10-26,5,5,11/21/16,1761.63,9,1444.125915,,0.3492241430006912
tws,boyd,2015-08-05,3.36208076659822,2015,8,2022-03-05T22:36:00Z,2,3047.725749,295.8994192799071,F,0.72,35,aug,buai,2012-04-04,2.740588638,2015-08-15,9.665,7.6,7,40,2018-04-17,,0.7653890824622532,1,2016-10-26,10,3,11/16/16,3981.93,3,3762.95982,,-0.16350829859401
tws,bike,2015-08-06,6.3874058863791925,2015,8,2022-03-06T00:20:00Z,3,1201.473339,371.9408246225319,M,0.18,7,aug,bif,2009-03-26,2.264202601,2015-08-15,9.719,17.8,17,10,2018-05-15,,3.826945412311266,1,2016-10-26,2,8,11/23/16,313.951,12,1186.746124,,-0.01280360955753117
tws,atom,2015-08-10,6.477754962354552,2015,8,2022-03-05T20:24:00Z,4,4905.65479,541.101120632828,F,0.92,37,aug,arte,2009-02-21,2.795345654,2015-08-15,18.684,0.6,19,40,2018-05-16,,0.7240166996264558,1,2016-10-26,20,1,11/8/16,6775.61,1,5011.053384,,-0.015358112767027891
twn,ruki,2015-08-10,4.479123887748118,2015,8,2022-03-05T23:20:00Z,5,2835.575203,480.94498644986453,M,0.63,12,aug,rave,2011-02-21,2.770704997,2015-08-15,5.386,14.7,7,40,2018-04-17,,2.2323848238482387,1,2016-10-26,5,5,11/21/16,1270.2,9,1371.829113,,0.31867431689946873
twn,keny,2015-08-10,5.516769336071184,2015,8,2022-03-05T23:23:00Z,6,3873.053726,1032.92445799458,M,0.79,48,aug,kayl,2010-02-07,2.453114305,2015-08-15,23.135,9.4,17,80,2018-05-15,,0.5580962059620597,1,2016-10-26,20,1,11/8/16,6939.76,1,5977.035241,,-0.4365232305306774
tws,peke,2015-08-11,4.6242299794661195,2015,8,2022-03-05T18:38:00Z,7,5271.844908,580.1004706889173,M,0.42,19,aug,pans,2010-12-30,2.814510609,2015-08-15,10.286,6.7,7,40,2018-04-17,,1.4099272571673085,1,2016-10-26,5,5,11/21/16,3739.09,9,6057.383703,,-0.060775856999298716
twn,king,2015-08-12,3.783709787816564,2015,8,2022-03-05T18:29:00Z,8,2034.059756,171.2328455284553,M,0.44,15,aug,kipp,2011-11-02,2.045174538,2015-08-15,2.397,4.1,7,40,2018-04-17,,1.7859078590785908,1,2016-10-26,5,5,11/24/16,1138.95,9,1761.2477,"redid in batch 14 run 9, but wasn't necessary!",0.05655556679122096
gn,spad,2015-08-12,5.5715263518138265,2015,8,2022-03-05T19:56:00Z,9,1693.982871,196.757779646762,F,0.7,29,aug,spik,2010-01-18,2.258726899,2015-08-15,5.325,4.7,6,40,2018-01-26,,0.9237454443509953,1,2016-10-26,10,3,11/16/16,1833.82,3,1782.490079,,-0.02996986803987753
twn,allo,2015-08-12,2.349075975359343,2015,8,2022-03-05T22:50:00Z,10,6193.235455,435.08064024390245,M,0.97,32,aug,ambe,2013-04-09,3.394934976,2015-08-15,12.993,3.6,7,40,2018-04-17,,0.8371443089430894,1,2016-10-26,10,3,11/16/16,7398.05,3,5189.362204,,0.16363798142647099
gn,mole,2015-08-12,2.329911019849418,2015,8,2022-03-05T23:40:00Z,11,1502.822989,128.47451640033643,F,0.52,29,aug,merl,2013-04-16,1.467488022,2015-08-15,3.477,2.6,6,40,2018-01-26,,0.9237454443509953,1,2016-10-26,10,3,11/16/16,1626.88,3,2128.730256,,-0.20996986803987744
gn,dann,2015-08-13,2.532511978097194,2015,8,2022-03-05T18:29:00Z,12,1602.242118,275.5060523938573,M,0.56,36,aug,daff,2013-02-01,1.552361396,2015-08-15,9.256,2.2,6,40,2018-01-26,,0.7441282746160796,1,2016-10-26,10,3,11/16/16,2153.18,3,2616.138708,,-0.3493913095979201
gn,ropa,2015-08-13,5.650924024640657,2015,8,2022-03-05T18:25:00Z,13,3683.853532,NA,M,0.8,32,aug,robe,2009-12-20,3.529089665,2015-08-15,NA,NA,NA,NA,NA,NA,0.8371443089430894,1,2016-10-26,10,3,11/16/16,4400.5,3,3742.661026,,-0.006362018573528921
gn,renl,2015-08-13,2.299794661190965,2015,8,2022-03-05T19:42:00Z,14,4692.501921,475.44439024390243,M,0.72,40,aug,robe,2013-04-27,1.834360027,2015-08-15,17.748,10.9,1,40,2018-01-11,,0.6697154471544715,1,2016-10-26,20,1,11/8/16,7006.71,1,6621.404245,,-0.29376127526557544
gn,pira,2015-08-13,4.547570157426421,2015,8,2022-03-05T19:44:00Z,15,8537.867378,272.73491869918695,M,0.92,40,aug,pinc,2011-01-27,1.35797399,2015-08-15,10.181,14,1,40,2018-01-11,,0.6697154471544715,1,2016-10-26,20,1,11/8/16,12748.5,1,9428.437301,,-0.09376127526557536
gn,spad,2015-08-13,5.5715263518138265,2015,8,2022-03-05T22:18:00Z,16,3989.494919,464.6485772357724,F,0.76,24,aug,spik,2010-01-18,2.258726899,2015-08-15,10.407,0.7,1,40,2018-01-11,,1.1161924119241193,1,2016-10-26,10,3,11/16/16,3574.2,3,3199.880167,,0.15567453954546184
tws,burn,2015-08-14,6.458590006844627,2015,8,2022-03-05T18:59:00Z,17,6407.469055,NA,F,1.07,32,aug,blaz,2009-02-28,2.247775496,2015-08-15,NA,NA,NA,NA,NA,NA,0.8371443089430894,1,2016-10-26,10,3,11/16/16,7653.96,3,4867.106697,,0.2636379814264711
tws,burn,2015-08-17,6.458590006844627,2015,8,2022-03-05T23:29:00Z,18,11939.1289,382.18428184281845,F,1,48,aug,blaz,2009-02-28,2.247775496,2015-08-15,17.12,1.6,1,40,2018-01-11,,0.5580962059620597,1,2016-10-26,20,1,11/8/16,21392.6,1,14555.66418,,-0.2265232305306774
gn,mend,2015-08-18,5.5277207392197125,2015,8,2022-03-05T19:36:00Z,19,5772.636061,NA,F,0.86,31,aug,merl,2010-02-03,2.236824093,2015-08-15,NA,NA,NA,NA,NA,NA,0.8641489640702859,1,2016-10-26,10,3,11/16/16,6680.14,3,5285.128726,,0.07918582376955886
tws,dubl,2015-08-18,6.444900752908967,2015,8,2022-03-05T22:40:00Z,20,2039.360075,309.10238095238094,M,0.96,28,aug,dixi,2009-03-05,2.321697467,2015-08-15,8.077,0.5,7,40,2018-04-17,,0.9567363530778165,1,2016-10-26,10,3,11/16/16,2131.58,3,1510.771767,,0.25532659780759837
twn,petr,2015-08-19,5.366187542778919,2015,8,2022-03-05T23:20:00Z,21,3209.410366,523.94071815718155,F,0.56,24,aug,park,2010-04-03,2.565366188,2015-08-15,11.735,3.2,7,40,2018-04-17,,1.1161924119241193,1,2016-10-26,10,3,11/16/16,2875.32,3,3493.547195,,-0.044325460454538126
gn,renl,2015-08-20,2.299794661190965,2015,8,2022-03-05T20:15:00Z,22,2150.91766,472.31309846431805,M,0.32,18,aug,robe,2013-04-27,1.834360027,2015-08-15,7.934,0.1,4,40,2018-01-25,,1.488256549232159,1,2016-10-26,5,5,11/21/16,1445.26,9,3073.01345,,-0.1363173128038628
gn,dean,2015-08-20,4.596851471594798,2015,8,2022-03-05T20:00:00Z,23,2852.354619,127.22158167036218,M,0.14,11,aug,desd,2011-01-09,2.302532512,2015-08-15,1.306,3.2,4,40,2018-01-25,,2.435328898743533,1,2016-10-26,5,5,11/24/16,1171.24,9,5692.280813,"redid in batch 14 run 9, but wasn't necessary!",-0.1474536840615233
gn,mend,2015-08-21,5.5277207392197125,2015,8,2022-03-05T20:13:00Z,24,2148.941256,108.52366757000905,F,0.13,9,aug,merl,2010-02-03,2.236824093,2015-08-15,1.823,11.7,6,20,2018-01-26,,2.976513098464318,1,2016-10-26,2,8,11/23/16,721.966,12,3778.695093,,-0.10996106247911935
gn,renl,2015-08-21,2.299794661190965,2015,8,2022-03-05T18:17:00Z,25,1810.250421,506.4196864111499,M,0.54,28,aug,robe,2013-04-27,1.834360027,2015-08-15,13.233,6.3,1,40,2018-01-11,,0.9567363530778165,1,2016-10-26,10,3,11/16/16,1892.11,3,2384.08139,,-0.16467340219240156
gn,dann,2015-08-21,2.532511978097194,2015,8,2022-03-05T18:22:00Z,26,14259.19861,192.6637398373984,M,0.39,35,aug,daff,2013-02-01,1.552361396,2015-08-15,6.293,0.8,1,40,2018-01-11,,0.7653890824622532,1,2016-10-26,10,3,11/16/16,18630,3,32502.49531,,-0.4935082985940164
twn,safi,2015-08-21,2.4668035592060233,2015,8,2022-03-05T20:47:00Z,27,5418.430042,294.39826907946497,F,0.39,31,aug,saph,2013-02-25,1.741273101,2015-08-15,8.517,10.6,17,40,2018-05-15,,0.8641489640702859,1,2016-10-26,10,3,11/16/16,6270.25,3,10939.27918,,-0.3908141762304411
twn,pam,2015-08-24,2.43668720054757,2015,8,2022-03-05T17:34:00Z,28,1534.545793,878.1308943089431,F,0.12,6,aug,park,2013-03-08,1.796030116,2015-08-15,4.917,7.5,17,40,2018-05-15,,4.464769647696477,1,2016-10-26,2,8,11/23/16,343.701,12,1948.803299,,-0.0493505713445435
tws,bong,2015-08-24,2.2806297056810405,2015,8,2022-03-05T16:50:00Z,29,1872.990711,345.55332731105096,M,0.46,27,aug,bonn,2013-05-04,1.971252567,2015-08-15,8.707,10.6,18,40,2018-05-15,,0.9921710328214394,2,2016-10-27,10,3,11/16/16,1887.77,3,2792.284753,,-0.21946072851012974
