,group,subj,date,time,sample_number,Cr,SG,Cr.plate.number,Cr.date,cp_dilution,cp_run,cp_assay_date,pg.ml_ucp,cp_batch,stdcr_CP,stdsg_CP,cp_note,month,year,sex,age,month.name,mum,bday,weaning,mid,neo_value,CV,neo_plate_number,neo_dilution,neo_date_assayed,neo_note,SG_corr_fac,neo_sg,month_name,pl,gmd,gm,r,n_agg_g,n_agg_r,n_obs
0,gn,stre,2015-09-29,2021-12-30 11:10:00,98,,,3.0,2016-10-28,,,,,,,,,9,2015,F,6.53251197809719,sep,sput,2009-03-04,3.06091718,2015-09-15,,,,,,,,,sep,0.0,0.106666666666667,0.0766666666666667,0.29,0,5,300
1,tws,dubl,2015-10-13,2021-12-30 15:55:00,171,,,,,,,,,,,,,10,2015,M,6.61190965092402,oct,dixi,2009-03-05,2.321697467,2015-10-15,,,,,,,,,oct,0.0,0.0,0.0,0.365625,5,0,320
2,twn,pam,2015-10-22,2021-12-30 11:38:00,193,,,4.0,2016-11-01,,,,,,,,,10,2015,F,2.60369609856263,oct,park,2013-03-08,1.796030116,2015-10-15,,,,,,,,,oct,0.0199335548172757,0.026578073089701,0.0199335548172757,0.242524916943522,0,0,301
3,gn,dann,2015-10-23,2021-12-30 09:46:00,197,,,4.0,2016-11-01,,,,,,,,,10,2015,M,2.69952087611225,oct,daff,2013-02-01,1.552361396,2015-10-15,,,,,,,,,oct,0.0155763239875389,0.0155763239875389,0.0186915887850467,0.370716510903427,0,6,321
4,gn,mayh,2016-03-10,2021-12-30 12:20:00,523,,,9.0,2016-11-04,,,,,,,,,3,2016,F,6.0041067761807,mar,mixu,2010-03-14,2.214921287,2016-03-15,,,,,,,,,mar,0.0167785234899329,0.0335570469798658,0.063758389261745,0.298657718120805,6,1,298
5,tws,atom,2015-08-10,2021-12-30 12:24:00,4,0.92,37.0,1.0,2016-10-26,20.0,1.0,11/8/16,6775.61,1.0,5011.053384,4905.65479,,8,2015,F,6.47775496235455,aug,arte,2009-02-21,2.795345654,2015-08-15,18.684,0.6,19.0,40.0,2018-05-16,,0.724359538691786,541.357344836693,aug,0.0,0.0055555555555555,0.0777777777777778,0.338888888888889,3,1,180
6,twn,keny,2015-08-10,2021-12-30 15:23:00,6,0.79,48.0,1.0,2016-10-26,20.0,1.0,11/8/16,6939.76,1.0,5977.035241,3873.053726,,8,2015,M,5.51676933607118,aug,kayl,2010-02-07,2.453114305,2015-08-15,23.135,9.4,17.0,80.0,2018-05-15,,0.558360477741585,1033.41357220413,aug,0.065,0.0,0.0,0.315,1,1,200
7,gn,renl,2015-08-13,2021-12-30 11:42:00,14,0.72,40.0,1.0,2016-10-26,20.0,1.0,11/8/16,7006.71,1.0,6621.404245,4692.501921,,8,2015,M,2.29979466119096,aug,robe,2013-04-27,1.834360027,2015-08-15,17.748,10.9,1.0,40.0,2018-01-11,,0.670032573289902,475.669524429967,aug,0.0,0.0,0.0,0.472222222222222,0,1,180
8,gn,pira,2015-08-13,2021-12-30 11:44:00,15,0.92,40.0,1.0,2016-10-26,20.0,1.0,11/8/16,12748.5,1.0,9428.437301,8537.867378,,8,2015,M,4.54757015742642,aug,pinc,2011-01-27,1.35797399,2015-08-15,10.181,14.0,1.0,40.0,2018-01-11,,0.670032573289902,272.86406514658,aug,0.0,0.0,0.0777777777777778,0.438888888888889,2,1,180
9,tws,burn,2015-08-17,2021-12-30 15:29:00,18,1.0,48.0,1.0,2016-10-26,20.0,1.0,11/8/16,21392.6,1.0,14555.66418,11939.1289,,8,2015,F,6.45859000684463,aug,blaz,2009-02-28,2.247775496,2015-08-15,17.12,1.6,1.0,40.0,2018-01-11,,0.558360477741585,382.365255157438,aug,0.0,0.0,0.05,0.327777777777778,0,2,180
