"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","Cr","SG","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","sex","month.name","mum","bday","weaning","mid","neo_value","CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","month_name","pl","gmd","gm","r","n_agg_g","n_agg_r","n_obs"
"gn","stre",2015-09-29,6.53251197809719,2015,9,2022-02-22 11:10:00,98,NA,NA,NA,NA,3,2016-10-28,NA,NA,"",NA,NA,NA,"","F","sep","sput",2009-03-04,3.06091718,2015-09-15,NA,NA,NA,NA,NA,NA,NA,"sep",0,0.106666666666667,0.0766666666666667,0.29,0,5,300
"tws","dubl",2015-10-13,6.61190965092402,2015,10,2022-02-22 15:55:00,171,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","M","oct","dixi",2009-03-05,2.321697467,2015-10-15,NA,NA,NA,NA,NA,NA,NA,"oct",0,0,0,0.365625,5,0,320
"twn","pam",2015-10-22,2.60369609856263,2015,10,2022-02-22 11:38:00,193,NA,NA,NA,NA,4,2016-11-01,NA,NA,"",NA,NA,NA,"","F","oct","park",2013-03-08,1.796030116,2015-10-15,NA,NA,NA,NA,NA,NA,NA,"oct",0.0199335548172757,0.026578073089701,0.0199335548172757,0.242524916943522,0,0,301
"gn","dann",2015-10-23,2.69952087611225,2015,10,2022-02-22 09:46:00,197,NA,NA,NA,NA,4,2016-11-01,NA,NA,"",NA,NA,NA,"","M","oct","daff",2013-02-01,1.552361396,2015-10-15,NA,NA,NA,NA,NA,NA,NA,"oct",0.0155763239875389,0.0155763239875389,0.0186915887850467,0.370716510903427,0,6,321
"gn","mayh",2016-03-10,6.0041067761807,2016,3,2022-02-22 12:20:00,523,NA,NA,NA,NA,9,2016-11-04,NA,NA,"",NA,NA,NA,"","F","mar","mixu",2010-03-14,2.214921287,2016-03-15,NA,NA,NA,NA,NA,NA,NA,"mar",0.0167785234899329,0.0335570469798658,0.063758389261745,0.298657718120805,6,1,298
"tws","atom",2015-08-10,6.47775496235455,2015,8,2022-02-22 12:24:00,4,4905.65479,541.101120632828,0.92,37,1,2016-10-26,20,1,"11/8/16",6775.61,1,5011.053384,"","F","aug","arte",2009-02-21,2.795345654,2015-08-15,18.684,0.6,19,40,2018-05-16,"",0.724016699626456,"aug",0,0.00555555555555556,0.0777777777777778,0.338888888888889,3,1,180
"twn","keny",2015-08-10,5.51676933607118,2015,8,2022-02-22 15:23:00,6,3873.053726,1032.92445799458,0.79,48,1,2016-10-26,20,1,"11/8/16",6939.76,1,5977.035241,"","M","aug","kayl",2010-02-07,2.453114305,2015-08-15,23.135,9.4,17,80,2018-05-15,"",0.55809620596206,"aug",0.065,0,0,0.315,1,1,200
"gn","renl",2015-08-13,2.29979466119096,2015,8,2022-02-22 11:42:00,14,4692.501921,475.444390243902,0.72,40,1,2016-10-26,20,1,"11/8/16",7006.71,1,6621.404245,"","M","aug","robe",2013-04-27,1.834360027,2015-08-15,17.748,10.9,1,40,2018-01-11,"",0.669715447154472,"aug",0,0,0,0.472222222222222,0,1,180
"gn","pira",2015-08-13,4.54757015742642,2015,8,2022-02-22 11:44:00,15,8537.867378,272.734918699187,0.92,40,1,2016-10-26,20,1,"11/8/16",12748.5,1,9428.437301,"","M","aug","pinc",2011-01-27,1.35797399,2015-08-15,10.181,14,1,40,2018-01-11,"",0.669715447154472,"aug",0,0,0.0777777777777778,0.438888888888889,2,1,180
"tws","burn",2015-08-17,6.45859000684463,2015,8,2022-02-22 15:29:00,18,11939.1289,382.184281842818,1,48,1,2016-10-26,20,1,"11/8/16",21392.6,1,14555.66418,"","F","aug","blaz",2009-02-28,2.247775496,2015-08-15,17.12,1.6,1,40,2018-01-11,"",0.55809620596206,"aug",0,0,0.05,0.327777777777778,0,2,180
"tws","tatu",2015-08-26,6.4558521560575,2015,8,2022-02-22 10:44:00,36,5526.590565,814.966153187848,1.03,38,2,2016-10-27,20,1,"11/8/16",7839.54,1,5178.712626,"","M","aug","twin",2009-03-01,2.945927447,2015-08-15,28.901,5.2,7,40,2018-04-17,"",0.704963628583654,"aug",0.0833333333333333,0,0,0.272222222222222,3,1,180
"tws","burn",2015-08-27,6.45859000684463,2015,8,2022-02-22 17:10:00,38,8414.679919,614.873788617886,1.14,50,2,2016-10-27,20,1,"11/8/16",15705.7,1,9373.912659,"","F","aug","blaz",2009-02-28,2.247775496,2015-08-15,28.691,8.8,7,40,2018-04-17,"",0.535772357723577,"aug",0,0,0.05,0.327777777777778,0,2,180
"tws","dame",2015-08-27,3.60301163586585,2015,8,2022-02-22 15:22:00,39,1169.091814,375.211123429416,0.91,44,2,2016-10-27,20,9,"11/24/16",1920.22,14,1435.747448,"redo, CV's too hi, originally in batch 1, run 1","F","aug","dixi",2012-01-07,1.869952088,2015-08-15,15.407,9.2,7,40,2018-04-17,"",0.608832224685883,"aug",0.0388888888888889,0.00555555555555556,0.0222222222222222,0.355555555555556,0,0,180
"tws","peke",2015-08-27,4.62422997946612,2015,8,2022-02-22 17:47:00,40,6765.52923,835.396670538134,0.91,42,2,2016-10-27,20,1,"11/8/16",10607.2,1,7930.997659,"","M","aug","pans",2010-12-30,2.814510609,2015-08-15,32.744,1,7,40,2018-04-17,"",0.637824235385211,"aug",0.0446927374301676,0.0111731843575419,0.00558659217877095,0.452513966480447,0,3,179
"tws","brog",2015-08-27,6.57631759069131,2015,8,2022-02-22 17:10:00,41,3666.119771,562.244382852919,1.05,44,2,2016-10-27,20,1,"11/8/16",6021.56,1,3902.00818,"","F","aug","bow",2009-01-16,2.516084873,2015-08-15,23.087,7.9,7,40,2018-04-17,"",0.608832224685883,"aug",0,0,0.05,0.505,0,3,200
