"group","subj","sex","age","year","month","sample_number","date","time","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","neo_CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","neo_sg"
"twn","petr","F",5.36618754277892,2015,8,1,2015-08-04,2022-03-03 14:20:00,0.83,19,"aug","park",2010-04-03,2.565366188,2015-08-15,9.189,6.8,7,40,2018-04-17,"",1.40992725716731,518.232862644416
"tws","boyd","F",3.36208076659822,2015,8,2,2015-08-05,2022-03-03 14:36:00,0.72,35,"aug","buai",2012-04-04,2.740588638,2015-08-15,9.665,7.6,7,40,2018-04-17,"",0.765389082462253,295.899419279907
"tws","bike","M",6.38740588637919,2015,8,3,2015-08-06,2022-03-03 16:20:00,0.18,7,"aug","bif",2009-03-26,2.264202601,2015-08-15,9.719,17.8,17,10,2018-05-15,"",3.82694541231127,371.940824622532
"tws","atom","F",6.47775496235455,2015,8,4,2015-08-10,2022-03-03 12:24:00,0.92,37,"aug","arte",2009-02-21,2.795345654,2015-08-15,18.684,0.6,19,40,2018-05-16,"",0.724016699626456,541.101120632828
"twn","ruki","M",4.47912388774812,2015,8,5,2015-08-10,2022-03-03 15:20:00,0.63,12,"aug","rave",2011-02-21,2.770704997,2015-08-15,5.386,14.7,7,40,2018-04-17,"",2.23238482384824,480.944986449865
"twn","keny","M",5.51676933607118,2015,8,6,2015-08-10,2022-03-03 15:23:00,0.79,48,"aug","kayl",2010-02-07,2.453114305,2015-08-15,23.135,9.4,17,80,2018-05-15,"",0.55809620596206,1032.92445799458
"tws","peke","M",4.62422997946612,2015,8,7,2015-08-11,2022-03-03 10:38:00,0.42,19,"aug","pans",2010-12-30,2.814510609,2015-08-15,10.286,6.7,7,40,2018-04-17,"",1.40992725716731,580.100470688917
"twn","king","M",3.78370978781656,2015,8,8,2015-08-12,2022-03-03 10:29:00,0.44,15,"aug","kipp",2011-11-02,2.045174538,2015-08-15,2.397,4.1,7,40,2018-04-17,"",1.78590785907859,171.232845528455
"gn","spad","F",5.57152635181383,2015,8,9,2015-08-12,2022-03-03 11:56:00,0.7,29,"aug","spik",2010-01-18,2.258726899,2015-08-15,5.325,4.7,6,40,2018-01-26,"",0.923745444350995,196.757779646762
"twn","allo","M",2.34907597535934,2015,8,10,2015-08-12,2022-03-03 14:50:00,0.97,32,"aug","ambe",2013-04-09,3.394934976,2015-08-15,12.993,3.6,7,40,2018-04-17,"",0.837144308943089,435.080640243902
"gn","mole","F",2.32991101984942,2015,8,11,2015-08-12,2022-03-03 15:40:00,0.52,29,"aug","merl",2013-04-16,1.467488022,2015-08-15,3.477,2.6,6,40,2018-01-26,"",0.923745444350995,128.474516400336
"gn","dann","M",2.53251197809719,2015,8,12,2015-08-13,2022-03-03 10:29:00,0.56,36,"aug","daff",2013-02-01,1.552361396,2015-08-15,9.256,2.2,6,40,2018-01-26,"",0.74412827461608,275.506052393857
"gn","ropa","M",5.65092402464066,2015,8,13,2015-08-13,2022-03-03 10:25:00,0.8,32,"aug","robe",2009-12-20,3.529089665,2015-08-15,NA,NA,NA,NA,NA,NA,0.837144308943089,NA
"gn","renl","M",2.29979466119096,2015,8,14,2015-08-13,2022-03-03 11:42:00,0.72,40,"aug","robe",2013-04-27,1.834360027,2015-08-15,17.748,10.9,1,40,2018-01-11,"",0.669715447154472,475.444390243902
"gn","pira","M",4.54757015742642,2015,8,15,2015-08-13,2022-03-03 11:44:00,0.92,40,"aug","pinc",2011-01-27,1.35797399,2015-08-15,10.181,14,1,40,2018-01-11,"",0.669715447154472,272.734918699187
"gn","spad","F",5.57152635181383,2015,8,16,2015-08-13,2022-03-03 14:18:00,0.76,24,"aug","spik",2010-01-18,2.258726899,2015-08-15,10.407,0.7,1,40,2018-01-11,"",1.11619241192412,464.648577235772
"tws","burn","F",6.45859000684463,2015,8,17,2015-08-14,2022-03-03 10:59:00,1.07,32,"aug","blaz",2009-02-28,2.247775496,2015-08-15,NA,NA,NA,NA,NA,NA,0.837144308943089,NA
"tws","burn","F",6.45859000684463,2015,8,18,2015-08-17,2022-03-03 15:29:00,1,48,"aug","blaz",2009-02-28,2.247775496,2015-08-15,17.12,1.6,1,40,2018-01-11,"",0.55809620596206,382.184281842818
"gn","mend","F",5.52772073921971,2015,8,19,2015-08-18,2022-03-03 11:36:00,0.86,31,"aug","merl",2010-02-03,2.236824093,2015-08-15,NA,NA,NA,NA,NA,NA,0.864148964070286,NA
"tws","dubl","M",6.44490075290897,2015,8,20,2015-08-18,2022-03-03 14:40:00,0.96,28,"aug","dixi",2009-03-05,2.321697467,2015-08-15,8.077,0.5,7,40,2018-04-17,"",0.956736353077816,309.102380952381
"twn","petr","F",5.36618754277892,2015,8,21,2015-08-19,2022-03-03 15:20:00,0.56,24,"aug","park",2010-04-03,2.565366188,2015-08-15,11.735,3.2,7,40,2018-04-17,"",1.11619241192412,523.940718157182
